point_id,pixel_x,pixel_y,u_mm,reaction_force_kN,source
11,107,525,0.00036985,-0.01838074,red_pixel_threshold_300dpi
14,108,525,0.00037887,-0.01838074,red_pixel_threshold_300dpi
17,109,525,0.00038789,-0.01838074,red_pixel_threshold_300dpi
22,116,521,0.00045103,-0.00787746,red_pixel_threshold_300dpi
23,116,523,0.00045103,-0.01312910,red_pixel_threshold_300dpi
24,117,523,0.00046005,-0.01312910,red_pixel_threshold_300dpi
25,125,516,0.00053222,0.00525164,red_pixel_threshold_300dpi
26,126,516,0.00054124,0.00525164,red_pixel_threshold_300dpi
27,126,517,0.00054124,0.00262582,red_pixel_threshold_300dpi
28,127,516,0.00055026,0.00525164,red_pixel_threshold_300dpi
29,127,517,0.00055026,0.00262582,red_pixel_threshold_300dpi
30,127,518,0.00055026,0.00000000,red_pixel_threshold_300dpi
31,128,515,0.00055928,0.00787746,red_pixel_threshold_300dpi
32,128,516,0.00055928,0.00525164,red_pixel_threshold_300dpi
33,128,517,0.00055928,0.00262582,red_pixel_threshold_300dpi
34,129,515,0.00056830,0.00787746,red_pixel_threshold_300dpi
35,129,516,0.00056830,0.00525164,red_pixel_threshold_300dpi
36,129,517,0.00056830,0.00262582,red_pixel_threshold_300dpi
37,130,515,0.00057732,0.00787746,red_pixel_threshold_300dpi
38,130,516,0.00057732,0.00525164,red_pixel_threshold_300dpi
39,147,506,0.00073067,0.03150985,red_pixel_threshold_300dpi
40,148,505,0.00073969,0.03413567,red_pixel_threshold_300dpi
41,148,506,0.00073969,0.03150985,red_pixel_threshold_300dpi
42,148,507,0.00073969,0.02888403,red_pixel_threshold_300dpi
43,149,505,0.00074871,0.03413567,red_pixel_threshold_300dpi
44,149,506,0.00074871,0.03150985,red_pixel_threshold_300dpi
45,150,504,0.00075773,0.03676149,red_pixel_threshold_300dpi
46,150,505,0.00075773,0.03413567,red_pixel_threshold_300dpi
47,150,506,0.00075773,0.03150985,red_pixel_threshold_300dpi
48,151,504,0.00076675,0.03676149,red_pixel_threshold_300dpi
49,151,505,0.00076675,0.03413567,red_pixel_threshold_300dpi
50,151,506,0.00076675,0.03150985,red_pixel_threshold_300dpi
51,161,499,0.00085696,0.04989059,red_pixel_threshold_300dpi
52,161,500,0.00085696,0.04726477,red_pixel_threshold_300dpi
53,162,499,0.00086598,0.04989059,red_pixel_threshold_300dpi
54,162,500,0.00086598,0.04726477,red_pixel_threshold_300dpi
55,163,500,0.00087500,0.04726477,red_pixel_threshold_300dpi
56,179,490,0.00101933,0.07352298,red_pixel_threshold_300dpi
57,180,489,0.00102835,0.07614880,red_pixel_threshold_300dpi
58,180,490,0.00102835,0.07352298,red_pixel_threshold_300dpi
59,181,489,0.00103737,0.07614880,red_pixel_threshold_300dpi
60,181,490,0.00103737,0.07352298,red_pixel_threshold_300dpi
61,181,491,0.00103737,0.07089716,red_pixel_threshold_300dpi
62,182,488,0.00104639,0.07877462,red_pixel_threshold_300dpi
63,182,489,0.00104639,0.07614880,red_pixel_threshold_300dpi
64,182,490,0.00104639,0.07352298,red_pixel_threshold_300dpi
65,182,491,0.00104639,0.07089716,red_pixel_threshold_300dpi
66,183,488,0.00105541,0.07877462,red_pixel_threshold_300dpi
67,183,489,0.00105541,0.07614880,red_pixel_threshold_300dpi
68,183,490,0.00105541,0.07352298,red_pixel_threshold_300dpi
69,183,491,0.00105541,0.07089716,red_pixel_threshold_300dpi
70,184,489,0.00106443,0.07614880,red_pixel_threshold_300dpi
71,184,490,0.00106443,0.07352298,red_pixel_threshold_300dpi
72,185,489,0.00107345,0.07614880,red_pixel_threshold_300dpi
73,200,480,0.00120876,0.09978118,red_pixel_threshold_300dpi
74,201,479,0.00121778,0.10240700,red_pixel_threshold_300dpi
75,201,480,0.00121778,0.09978118,red_pixel_threshold_300dpi
76,202,479,0.00122680,0.10240700,red_pixel_threshold_300dpi
77,202,480,0.00122680,0.09978118,red_pixel_threshold_300dpi
78,203,478,0.00123582,0.10503282,red_pixel_threshold_300dpi
79,203,479,0.00123582,0.10240700,red_pixel_threshold_300dpi
80,203,480,0.00123582,0.09978118,red_pixel_threshold_300dpi
81,204,478,0.00124485,0.10503282,red_pixel_threshold_300dpi
82,204,479,0.00124485,0.10240700,red_pixel_threshold_300dpi
83,204,480,0.00124485,0.09978118,red_pixel_threshold_300dpi
84,214,473,0.00133505,0.11816193,red_pixel_threshold_300dpi
85,215,472,0.00134407,0.12078775,red_pixel_threshold_300dpi
86,215,473,0.00134407,0.11816193,red_pixel_threshold_300dpi
87,215,474,0.00134407,0.11553611,red_pixel_threshold_300dpi
88,216,472,0.00135309,0.12078775,red_pixel_threshold_300dpi
89,216,473,0.00135309,0.11816193,red_pixel_threshold_300dpi
90,216,474,0.00135309,0.11553611,red_pixel_threshold_300dpi
91,221,469,0.00139820,0.12866521,red_pixel_threshold_300dpi
92,222,469,0.00140722,0.12866521,red_pixel_threshold_300dpi
93,223,471,0.00141624,0.12341357,red_pixel_threshold_300dpi
94,224,470,0.00142526,0.12603939,red_pixel_threshold_300dpi
95,233,463,0.00150644,0.14442013,red_pixel_threshold_300dpi
96,233,464,0.00150644,0.14179431,red_pixel_threshold_300dpi
97,233,465,0.00150644,0.13916849,red_pixel_threshold_300dpi
98,234,463,0.00151546,0.14442013,red_pixel_threshold_300dpi
99,234,464,0.00151546,0.14179431,red_pixel_threshold_300dpi
100,234,465,0.00151546,0.13916849,red_pixel_threshold_300dpi
101,235,462,0.00152448,0.14704595,red_pixel_threshold_300dpi
102,235,463,0.00152448,0.14442013,red_pixel_threshold_300dpi
103,235,464,0.00152448,0.14179431,red_pixel_threshold_300dpi
104,236,462,0.00153351,0.14704595,red_pixel_threshold_300dpi
105,236,463,0.00153351,0.14442013,red_pixel_threshold_300dpi
106,236,464,0.00153351,0.14179431,red_pixel_threshold_300dpi
107,237,462,0.00154253,0.14704595,red_pixel_threshold_300dpi
108,237,464,0.00154253,0.14179431,red_pixel_threshold_300dpi
109,238,463,0.00155155,0.14442013,red_pixel_threshold_300dpi
110,254,453,0.00169588,0.17067834,red_pixel_threshold_300dpi
111,254,454,0.00169588,0.16805252,red_pixel_threshold_300dpi
112,255,453,0.00170490,0.17067834,red_pixel_threshold_300dpi
113,255,454,0.00170490,0.16805252,red_pixel_threshold_300dpi
114,256,453,0.00171392,0.17067834,red_pixel_threshold_300dpi
115,256,454,0.00171392,0.16805252,red_pixel_threshold_300dpi
116,256,455,0.00171392,0.16542670,red_pixel_threshold_300dpi
117,257,452,0.00172294,0.17330416,red_pixel_threshold_300dpi
118,257,453,0.00172294,0.17067834,red_pixel_threshold_300dpi
119,257,454,0.00172294,0.16805252,red_pixel_threshold_300dpi
120,258,452,0.00173196,0.17330416,red_pixel_threshold_300dpi
121,267,447,0.00181314,0.18643326,red_pixel_threshold_300dpi
122,268,447,0.00182216,0.18643326,red_pixel_threshold_300dpi
123,268,448,0.00182216,0.18380744,red_pixel_threshold_300dpi
124,269,447,0.00183119,0.18643326,red_pixel_threshold_300dpi
125,269,448,0.00183119,0.18380744,red_pixel_threshold_300dpi
126,270,449,0.00184021,0.18118162,red_pixel_threshold_300dpi
127,286,438,0.00198454,0.21006565,red_pixel_threshold_300dpi
128,287,437,0.00199356,0.21269147,red_pixel_threshold_300dpi
129,287,438,0.00199356,0.21006565,red_pixel_threshold_300dpi
130,288,437,0.00200258,0.21269147,red_pixel_threshold_300dpi
131,288,438,0.00200258,0.21006565,red_pixel_threshold_300dpi
132,289,437,0.00201160,0.21269147,red_pixel_threshold_300dpi
133,289,438,0.00201160,0.21006565,red_pixel_threshold_300dpi
134,290,437,0.00202062,0.21269147,red_pixel_threshold_300dpi
135,290,438,0.00202062,0.21006565,red_pixel_threshold_300dpi
136,307,427,0.00217397,0.23894967,red_pixel_threshold_300dpi
137,307,428,0.00217397,0.23632385,red_pixel_threshold_300dpi
138,308,428,0.00218299,0.23632385,red_pixel_threshold_300dpi
139,309,427,0.00219201,0.23894967,red_pixel_threshold_300dpi
140,309,428,0.00219201,0.23632385,red_pixel_threshold_300dpi
141,309,429,0.00219201,0.23369803,red_pixel_threshold_300dpi
142,310,427,0.00220103,0.23894967,red_pixel_threshold_300dpi
143,310,428,0.00220103,0.23632385,red_pixel_threshold_300dpi
144,311,426,0.00221005,0.24157549,red_pixel_threshold_300dpi
145,311,427,0.00221005,0.23894967,red_pixel_threshold_300dpi
146,311,428,0.00221005,0.23632385,red_pixel_threshold_300dpi
147,312,428,0.00221907,0.23632385,red_pixel_threshold_300dpi
148,321,421,0.00230026,0.25470460,red_pixel_threshold_300dpi
149,322,421,0.00230928,0.25470460,red_pixel_threshold_300dpi
150,322,422,0.00230928,0.25207877,red_pixel_threshold_300dpi
151,323,421,0.00231830,0.25470460,red_pixel_threshold_300dpi
152,324,421,0.00232732,0.25470460,red_pixel_threshold_300dpi
153,325,422,0.00233634,0.25207877,red_pixel_threshold_300dpi
154,329,417,0.00237242,0.26520788,red_pixel_threshold_300dpi
155,330,417,0.00238144,0.26520788,red_pixel_threshold_300dpi
156,340,412,0.00247165,0.27833698,red_pixel_threshold_300dpi
157,341,411,0.00248067,0.28096280,red_pixel_threshold_300dpi
158,341,412,0.00248067,0.27833698,red_pixel_threshold_300dpi
159,341,413,0.00248067,0.27571116,red_pixel_threshold_300dpi
160,341,414,0.00248067,0.27308534,red_pixel_threshold_300dpi
161,342,411,0.00248969,0.28096280,red_pixel_threshold_300dpi
162,342,412,0.00248969,0.27833698,red_pixel_threshold_300dpi
163,343,411,0.00249871,0.28096280,red_pixel_threshold_300dpi
164,344,411,0.00250773,0.28096280,red_pixel_threshold_300dpi
165,361,402,0.00266108,0.30459519,red_pixel_threshold_300dpi
166,363,401,0.00267912,0.30722101,red_pixel_threshold_300dpi
167,363,402,0.00267912,0.30459519,red_pixel_threshold_300dpi
168,364,401,0.00268814,0.30722101,red_pixel_threshold_300dpi
169,364,402,0.00268814,0.30459519,red_pixel_threshold_300dpi
170,365,400,0.00269716,0.30984683,red_pixel_threshold_300dpi
171,365,401,0.00269716,0.30722101,red_pixel_threshold_300dpi
172,366,400,0.00270619,0.30984683,red_pixel_threshold_300dpi
173,374,396,0.00277835,0.32035011,red_pixel_threshold_300dpi
174,375,395,0.00278737,0.32297593,red_pixel_threshold_300dpi
175,375,396,0.00278737,0.32035011,red_pixel_threshold_300dpi
176,376,395,0.00279639,0.32297593,red_pixel_threshold_300dpi
177,376,396,0.00279639,0.32035011,red_pixel_threshold_300dpi
178,377,395,0.00280541,0.32297593,red_pixel_threshold_300dpi
179,383,391,0.00285954,0.33347921,red_pixel_threshold_300dpi
180,394,387,0.00295876,0.34398249,red_pixel_threshold_300dpi
181,394,388,0.00295876,0.34135667,red_pixel_threshold_300dpi
182,395,386,0.00296778,0.34660832,red_pixel_threshold_300dpi
183,395,387,0.00296778,0.34398249,red_pixel_threshold_300dpi
184,396,385,0.00297680,0.34923414,red_pixel_threshold_300dpi
185,396,386,0.00297680,0.34660832,red_pixel_threshold_300dpi
186,396,387,0.00297680,0.34398249,red_pixel_threshold_300dpi
187,397,385,0.00298582,0.34923414,red_pixel_threshold_300dpi
188,397,386,0.00298582,0.34660832,red_pixel_threshold_300dpi
189,398,385,0.00299485,0.34923414,red_pixel_threshold_300dpi
190,398,386,0.00299485,0.34660832,red_pixel_threshold_300dpi
191,399,385,0.00300387,0.34923414,red_pixel_threshold_300dpi
192,414,376,0.00313918,0.37286652,red_pixel_threshold_300dpi
193,415,376,0.00314820,0.37286652,red_pixel_threshold_300dpi
194,415,377,0.00314820,0.37024070,red_pixel_threshold_300dpi
195,416,376,0.00315722,0.37286652,red_pixel_threshold_300dpi
196,416,377,0.00315722,0.37024070,red_pixel_threshold_300dpi
197,417,375,0.00316624,0.37549234,red_pixel_threshold_300dpi
198,417,376,0.00316624,0.37286652,red_pixel_threshold_300dpi
199,417,377,0.00316624,0.37024070,red_pixel_threshold_300dpi
200,418,375,0.00317526,0.37549234,red_pixel_threshold_300dpi
201,418,376,0.00317526,0.37286652,red_pixel_threshold_300dpi
202,419,375,0.00318428,0.37549234,red_pixel_threshold_300dpi
203,420,375,0.00319330,0.37549234,red_pixel_threshold_300dpi
204,428,370,0.00326546,0.38862144,red_pixel_threshold_300dpi
205,428,371,0.00326546,0.38599562,red_pixel_threshold_300dpi
206,429,370,0.00327448,0.38862144,red_pixel_threshold_300dpi
207,430,369,0.00328351,0.39124726,red_pixel_threshold_300dpi
208,430,370,0.00328351,0.38862144,red_pixel_threshold_300dpi
209,431,369,0.00329253,0.39124726,red_pixel_threshold_300dpi
210,431,370,0.00329253,0.38862144,red_pixel_threshold_300dpi
211,447,361,0.00343686,0.41225383,red_pixel_threshold_300dpi
212,448,361,0.00344588,0.41225383,red_pixel_threshold_300dpi
213,448,362,0.00344588,0.40962801,red_pixel_threshold_300dpi
214,449,360,0.00345490,0.41487965,red_pixel_threshold_300dpi
215,449,361,0.00345490,0.41225383,red_pixel_threshold_300dpi
216,449,362,0.00345490,0.40962801,red_pixel_threshold_300dpi
217,450,360,0.00346392,0.41487965,red_pixel_threshold_300dpi
218,450,361,0.00346392,0.41225383,red_pixel_threshold_300dpi
219,450,362,0.00346392,0.40962801,red_pixel_threshold_300dpi
220,451,360,0.00347294,0.41487965,red_pixel_threshold_300dpi
221,451,361,0.00347294,0.41225383,red_pixel_threshold_300dpi
222,452,359,0.00348196,0.41750547,red_pixel_threshold_300dpi
223,452,360,0.00348196,0.41487965,red_pixel_threshold_300dpi
224,453,360,0.00349098,0.41487965,red_pixel_threshold_300dpi
225,469,351,0.00363531,0.43851204,red_pixel_threshold_300dpi
226,469,352,0.00363531,0.43588621,red_pixel_threshold_300dpi
227,470,350,0.00364433,0.44113786,red_pixel_threshold_300dpi
228,470,351,0.00364433,0.43851204,red_pixel_threshold_300dpi
229,470,352,0.00364433,0.43588621,red_pixel_threshold_300dpi
230,471,350,0.00365335,0.44113786,red_pixel_threshold_300dpi
231,471,351,0.00365335,0.43851204,red_pixel_threshold_300dpi
232,471,352,0.00365335,0.43588621,red_pixel_threshold_300dpi
233,472,350,0.00366237,0.44113786,red_pixel_threshold_300dpi
234,472,351,0.00366237,0.43851204,red_pixel_threshold_300dpi
235,473,350,0.00367139,0.44113786,red_pixel_threshold_300dpi
236,481,346,0.00374356,0.45164114,red_pixel_threshold_300dpi
237,481,347,0.00374356,0.44901532,red_pixel_threshold_300dpi
238,482,345,0.00375258,0.45426696,red_pixel_threshold_300dpi
239,482,346,0.00375258,0.45164114,red_pixel_threshold_300dpi
240,482,347,0.00375258,0.44901532,red_pixel_threshold_300dpi
241,483,346,0.00376160,0.45164114,red_pixel_threshold_300dpi
242,483,347,0.00376160,0.44901532,red_pixel_threshold_300dpi
243,484,344,0.00377062,0.45689278,red_pixel_threshold_300dpi
244,484,345,0.00377062,0.45426696,red_pixel_threshold_300dpi
245,485,345,0.00377964,0.45426696,red_pixel_threshold_300dpi
246,490,343,0.00382474,0.45951860,red_pixel_threshold_300dpi
247,491,342,0.00383376,0.46214442,red_pixel_threshold_300dpi
248,501,336,0.00392397,0.47789934,red_pixel_threshold_300dpi
249,501,337,0.00392397,0.47527352,red_pixel_threshold_300dpi
250,501,338,0.00392397,0.47264770,red_pixel_threshold_300dpi
251,502,336,0.00393299,0.47789934,red_pixel_threshold_300dpi
252,502,337,0.00393299,0.47527352,red_pixel_threshold_300dpi
253,503,335,0.00394201,0.48052516,red_pixel_threshold_300dpi
254,503,336,0.00394201,0.47789934,red_pixel_threshold_300dpi
255,503,337,0.00394201,0.47527352,red_pixel_threshold_300dpi
256,504,335,0.00395103,0.48052516,red_pixel_threshold_300dpi
257,504,336,0.00395103,0.47789934,red_pixel_threshold_300dpi
258,505,334,0.00396005,0.48315098,red_pixel_threshold_300dpi
259,505,335,0.00396005,0.48052516,red_pixel_threshold_300dpi
260,505,336,0.00396005,0.47789934,red_pixel_threshold_300dpi
261,506,334,0.00396907,0.48315098,red_pixel_threshold_300dpi
262,506,335,0.00396907,0.48052516,red_pixel_threshold_300dpi
263,507,334,0.00397809,0.48315098,red_pixel_threshold_300dpi
264,507,335,0.00397809,0.48052516,red_pixel_threshold_300dpi
265,508,334,0.00398711,0.48315098,red_pixel_threshold_300dpi
266,508,335,0.00398711,0.48052516,red_pixel_threshold_300dpi
267,509,334,0.00399613,0.48315098,red_pixel_threshold_300dpi
268,518,329,0.00407732,0.49628009,red_pixel_threshold_300dpi
269,519,330,0.00408634,0.49365427,red_pixel_threshold_300dpi
270,520,329,0.00409536,0.49628009,red_pixel_threshold_300dpi
271,521,328,0.00410438,0.49890591,red_pixel_threshold_300dpi
272,522,327,0.00411340,0.50153173,red_pixel_threshold_300dpi
273,522,328,0.00411340,0.49890591,red_pixel_threshold_300dpi
274,523,325,0.00412242,0.50678337,red_pixel_threshold_300dpi
275,523,327,0.00412242,0.50153173,red_pixel_threshold_300dpi
276,523,328,0.00412242,0.49890591,red_pixel_threshold_300dpi
277,524,325,0.00413144,0.50678337,red_pixel_threshold_300dpi
278,524,326,0.00413144,0.50415755,red_pixel_threshold_300dpi
279,524,327,0.00413144,0.50153173,red_pixel_threshold_300dpi
280,525,325,0.00414046,0.50678337,red_pixel_threshold_300dpi
281,525,326,0.00414046,0.50415755,red_pixel_threshold_300dpi
282,525,327,0.00414046,0.50153173,red_pixel_threshold_300dpi
283,526,325,0.00414948,0.50678337,red_pixel_threshold_300dpi
284,526,326,0.00414948,0.50415755,red_pixel_threshold_300dpi
285,526,327,0.00414948,0.50153173,red_pixel_threshold_300dpi
286,527,325,0.00415851,0.50678337,red_pixel_threshold_300dpi
287,527,326,0.00415851,0.50415755,red_pixel_threshold_300dpi
288,536,320,0.00423969,0.51991247,red_pixel_threshold_300dpi
289,536,321,0.00423969,0.51728665,red_pixel_threshold_300dpi
290,537,320,0.00424871,0.51991247,red_pixel_threshold_300dpi
291,537,321,0.00424871,0.51728665,red_pixel_threshold_300dpi
292,538,319,0.00425773,0.52253829,red_pixel_threshold_300dpi
293,538,320,0.00425773,0.51991247,red_pixel_threshold_300dpi
294,538,321,0.00425773,0.51728665,red_pixel_threshold_300dpi
295,539,319,0.00426675,0.52253829,red_pixel_threshold_300dpi
296,539,320,0.00426675,0.51991247,red_pixel_threshold_300dpi
297,540,320,0.00427577,0.51991247,red_pixel_threshold_300dpi
298,541,320,0.00428479,0.51991247,red_pixel_threshold_300dpi
299,542,319,0.00429381,0.52253829,red_pixel_threshold_300dpi
300,543,318,0.00430284,0.52516411,red_pixel_threshold_300dpi
301,544,317,0.00431186,0.52778993,red_pixel_threshold_300dpi
302,544,318,0.00431186,0.52516411,red_pixel_threshold_300dpi
303,545,317,0.00432088,0.52778993,red_pixel_threshold_300dpi
304,545,318,0.00432088,0.52516411,red_pixel_threshold_300dpi
305,554,313,0.00440206,0.53829322,red_pixel_threshold_300dpi
306,555,312,0.00441108,0.54091904,red_pixel_threshold_300dpi
307,555,313,0.00441108,0.53829322,red_pixel_threshold_300dpi
308,556,311,0.00442010,0.54354486,red_pixel_threshold_300dpi
309,556,312,0.00442010,0.54091904,red_pixel_threshold_300dpi
310,556,313,0.00442010,0.53829322,red_pixel_threshold_300dpi
