U2_ref,RF2_ref,RF2_threads_interp,abs_diff,rel_diff
0,0,0,0,0
0,0,0,0,0
9.99999974738e-05,0.0134522747248,0.0134522747885,6.37273289694e-11,4.73729018126e-09
0.000199999994948,0.0269025340676,0.0269025340606,6.99413443828e-12,2.59980506695e-10
0.000300000014249,0.0403484553099,0.0403484553434,3.3463773419e-11,8.29369381354e-10
0.000399999989895,0.0537877194583,0.0537877194442,1.41112330154e-11,2.62350461361e-10
0.000500000023749,0.0672179982066,0.0672179981729,3.37099931302e-11,5.01502484894e-10
0.000600000028498,0.0806369706988,0.0806369707656,6.67586541603e-11,8.27891394998e-10
0.000699999975041,0.0940423160791,0.0940423160846,5.48965040092e-12,5.83742577789e-11
0.00079999997979,0.107431717217,0.107431717189,2.8117744244e-11,2.61726657382e-10
0.00089999998454,0.120802864432,0.12080286437,6.15072714982e-11,5.09154081631e-10
0.0010000000475,0.134153440595,0.134153440662,6.66383892511e-11,4.96732614203e-10
0.00109999999404,0.147481113672,0.147481113677,5.3209936457e-12,3.60791528706e-11
0.001200000057,0.160783603787,0.160783603787,0,0
0.00130000000354,0.174058571458,0.174058571397,6.10648753785e-11,3.50829464283e-10
0.00139999995008,0.187303736806,0.187303736817,1.05704334175e-11,5.64347172016e-11
0.00150000001304,0.200516790152,0.200516790157,5.2714776988e-12,2.62894578295e-11
0.00159999995958,0.213695421815,0.21369542176,5.5350279915e-11,2.59014813911e-10
0.00170000002254,0.226837337017,0.226837336957,6.04527816694e-11,2.66502783291e-10
0.00179999996908,0.239940226078,0.239940226088,1.04492525743e-11,4.35493987195e-11
0.00190000003204,0.25300180912,0.253001809125,5.2071680301e-12,2.05815446467e-11
0.00200000009499,0.266019791365,0.266019791364,1.30184751868e-12,4.89379948761e-12
0.00209999992512,0.27899184823,0.278991848246,1.55085944087e-11,5.55879840471e-11
0.00219999998808,0.291915714741,0.291915714751,1.0298650821e-11,3.52795354994e-11
0.00230000005104,0.304789066315,0.30478906632,5.12817566189e-12,1.68253268528e-11
0.00240000011399,0.317609637976,0.317609637975,1.28208554884e-12,4.03667079188e-12
0.00249999994412,0.330375105143,0.330375105158,1.52496903993e-11,4.6158715236e-11
0.00260000000708,0.343083143234,0.343083143244,1.01186836687e-11,2.94933862776e-11
0.00270000007004,0.355731457472,0.355731457477,5.03452834977e-12,1.41526093462e-11
0.00279999990016,0.368317753077,0.368317753097,2.00349736801e-11,5.43958946119e-11
0.00289999996312,0.38083961606,0.380839616075,1.49461554244e-11,3.92452748982e-11
0.00300000002608,0.393294751644,0.393294751654,9.90885151708e-12,2.51944666835e-11
0.00310000008903,0.405680775642,0.405680775646,3.69432262559e-12,9.10647693311e-12
0.00319999991916,0.417995303869,0.417995303889,1.95850002882e-11,4.68545940754e-11
0.00329999998212,0.430235922337,0.430235922352,1.45970457943e-11,3.39280033035e-11
0.00340000004508,0.442400157452,0.442400157462,9.66826618765e-12,2.18541201326e-11
0.00350000010803,0.454485535622,0.454485535626,3.60117491383e-12,7.92362931616e-12
0.00359999993816,0.466489553452,0.466489553471,1.90720217397e-11,4.08841347004e-11
0.00370000000112,0.478409558535,0.478409558549,1.42000300407e-11,2.9681743994e-11
0.00380000006407,0.490242928267,0.490242928275,8.22081291929e-12,1.67688556944e-11
0.0038999998942,0.501986920834,0.501986920857,2.33034702646e-11,4.64224650034e-11
0.00400000018999,0.513638675213,0.513638675212,1.16517906434e-12,2.26848000467e-12
0.00410000002012,0.525195240974,0.525195240988,1.37498901154e-11,2.61805306725e-11
0.00419999985024,0.536653518677,0.536653518704,2.72559752545e-11,5.07887758227e-11
0.00430000014603,0.548010230064,0.548010230067,3.37541106177e-12,6.15939425323e-12
0.00439999997616,0.559261798859,0.559261798877,1.78282943963e-11,3.18782624394e-11
0.00449999980628,0.570404469967,0.570404469998,3.08831848983e-11,5.41426067367e-11
0.00460000010207,0.581434190273,0.581434190281,7.63844543172e-12,1.31372484789e-11
0.0046999999322,0.592346251011,0.592346251033,2.15787387958e-11,3.64292654153e-11
0.00480000022799,0.60313564539,0.603135645389,1.07902575763e-12,1.78902667398e-12
0.00490000005811,0.61379635334,0.613796353352,1.157784979e-11,1.88626891102e-11
0.00499999988824,0.624321579933,0.624321579957,2.37707631356e-11,3.80745498789e-11
0.00499999988824,0.624321579933,0.624321579957,2.37707631356e-11,3.80745498789e-11
0.00510000018403,0.634226083755,0.634226083758,3.05466762995e-12,4.81637023168e-12
0.00520000001416,0.644408345222,0.644408345238,1.60051971676e-11,2.48370420499e-11
0.00529999984428,0.654411554337,0.654411554364,2.74392730759e-11,4.19296891903e-11
0.00540000014007,0.664211332798,0.664211332805,6.6906480356e-12,1.00730711827e-11
0.0054999999702,0.673769295216,0.673769295234,1.84953163895e-11,2.74505183315e-11
0.00559999980032,0.683016896248,0.683016896276,2.81100698274e-11,4.11557459e-11
0.00570000009611,0.691801309586,0.691801309595,8.58346727028e-12,1.24074169149e-11
0.00579999992624,0.699604451656,0.699604451638,1.77363679299e-11,2.53519940988e-11
0.00590000022203,0.692214250565,0.692214250531,3.40738548488e-11,4.92244342282e-11
0.00600000005215,0.57863599062,0.578635990432,1.88117854627e-10,3.2510569283e-10
0.00609999988228,0.453224122524,0.453224122107,4.17354262261e-10,9.20856242022e-10
0.00620000017807,0.304168581963,0.30416858182,1.4313167318e-10,4.70566921332e-10
0.0063000000082,0.099696367979,0.0996963677803,1.98726007872e-10,1.99331241348e-09
0.00639999983832,0.000333403993864,0.000333403993832,3.19838556681e-14,9.59312313492e-11
0.00650000013411,0.000323409010889,0.000323409010879,1.0391427302e-14,3.2130914576e-11
0.00659999996424,0.000313962227665,0.000313962227644,2.14490426288e-14,6.831727112e-11
0.00669999979436,0.000305025139824,0.000305025139794,3.04653221053e-14,9.98780694696e-11
0.00680000009015,0.00029656253173,0.000296562531718,1.20304699362e-14,4.05663853287e-11
0.00689999992028,0.000288542214548,0.000288542214527,2.13006153514e-14,7.38214870388e-11
0.00700000021607,0.000280934822513,0.000280934822513,0,0
